name;address;postal code;city;phone;lattitude;longitude;company;idpoi;dfselection
CENTRAL PNEUS - JARVILLE LA MALGRANGE;136, RUE DE LA RÉPUBLIQUE;54140;JARVILLE LA MALGRANGE;03 83 40 21 21;48.6669;6.21097;Siligom;37;0
HENNETTE PNEUS - LA CHAPELLE D'ARMENTIERES;1700 ROUTE NATIONALE - LIEU DIT WEZ MACQUART;59930;LA CHAPELLE D'ARMENTIERES;03.20.35.85.28;50.6613;2.92462;Siligom;37;0
PNEUS ET SERVICES AUTOMOBILES - DOUVAINE;1 RUE DES NIOLLETS;74140;DOUVAINE;04.50.85.18.70;46.2964;6.30447;Siligom;37;0
ABC PNEUS - LA FARLEDE;1126, R N 9 7;83210;LA FARLEDE;04.94.14.94.20;43.1465;6.02807;Siligom;37;0
CENTRE AUTO PNEU ROUTE - MACON;AVENUE DES SAUGERAIES;71000;MACON;03.85.34.31.64;46.3305;4.82763;Siligom;37;0
GARAGE AUTOMOBILE - PRUNELLI DI FIUM'ORBU;ROND-POINT DU FIUM'ORBU MIGLIACCIARU;20243;PRUNELLI DI FIUM'ORBU;04.95.56.06.23;42.035;9.31892;Siligom;37;0
SCC SERVICES - AIRE SUR ADOUR;19, AVENUE DU QUATRE SEPTEMBRE;40800;AIRE SUR ADOUR;05.58.71.80.75;43.7052;-0.256419;Siligom;37;0
PEUVION PNEUS - BOULOGNE SUR MER;26 RUE DE CONSTANTINE;62200;BOULOGNE SUR MER;03 21 31 85 62;50.7206;1.59113;Siligom;37;0
NICOLAS PNEUS - LAMBRES LEZ AIRE;28 ROUTE NATIONALE;62120;LAMBRES LEZ AIRE;03.21.93.30.39;50.6184;2.39584;Siligom;37;0
AUTOMOBILE 3D - DUN SUR AURON;64 RUE DE L'ERMITAGE;18130;DUN-SUR-AURON;02 48 59 26 71;46.8889;2.58417;Siligom;37;0
ES23 - SAINT SULPICE LE GUERETOIS;MASGEROT;23000;SAINT SULPICE LE GUERETOIS;05.44.30.07.56;46.1843;1.83849;Siligom;37;0
PYRAME PNEUS - AIX EN PROVENCE;64, COURS GAMBETTA;13100;AIX EN PROVENCE;04.42.23.83.83;43.5205;5.46002;Siligom;37;0
LA MAISON DU PNEU - BETHUNE;371, RUE D'AIRE;62403;BETHUNE;03.21.57.02.10;50.5373;2.63498;Siligom;37;0
AUBERT PNEUS - FONTENAY LE COMTE;ROUTE DE NIORT;85200;FONTENAY LE COMTE;02 51 69 30 79;46.4609;-0.786066;Siligom;37;0
ESTOURNET PNEUS - ST JEAN DE VEDAS;2200, ROUTE DE SÈTE;34430;SAINT JEAN DE VÉDAS;04.67.99.00.99;43.564;3.85015;Siligom;37;0
BOURMAUD PNEUS - SAINT AIGNAN DE GRANDLIEU;ZA GAUCHOUX;44860;SAINT AIGNAN DE GRANDLIEU;02.51.70.80.70;47.1434;-1.59521;Siligom;37;0
CENTER PNEUS 51 - CHALONS EN CHAMPAGNE;22 AVENUE DU PRÉSIDENT ROOSEVELT;51000;CHALONS EN CHAMPAGNE;03.26.64.69.74;48.9459;4.37689;Siligom;37;0
PNEUS DES OLONNES - OLONNE SUR MER;RUE DES FRÈRES LUMIÈRE - ZI DES FRUCHARDIÈRES;85340;OLONNE SUR MER;02.51.95.50.72;46.5159;-1.78129;Siligom;37;0
MARCAILLE PNEUMATIQUE - ST LAURENT DE NESTE;47, RUE DES VALLÉES;65150;ST LAURENT DE NESTE;05.62.99.03.92;43.0795;0.486896;Siligom;37;0
