name;address;postal code;city;phone;lattitude;longitude;company;idpoi;dfselection;
CHOUTEAU PNEUS SAINTES;7 avenue de Gémozac Zi des Charriers;17100;SAINTES;05 46 90 04 60;45.722327;-0.640688;PROFIL+;35;0;
PROFIL PLUS SAINT JEAN D'ARDIERES;93 rue des Compagnons ZA des Gouchoux;69220;SAINT JEAN D'ARDIERES;04 74 66 41 09;46.118852;4.736523;PROFIL+;35;0;
SAINT LAURENT SUR MANOIRE;Z.A.E. GRAND FONT;24330;SAINT LAURENT SUR MANOIRE;05 53 13 40 05;45.158528;0.787558;PROFIL+;35;0;
Simon cap - ST MALO;Av. du Général Ferrié ZI SUD;35400;SAINT MALO;02 99 19 55 06;48.652069;-1.989515;PROFIL+;35;0;
PICAUD PNEUS;210 Route de la Côte d'Amour;44600;SAINT NAZAIRE;02 40 70 00 39;47.2579238;-2.2553636;PROFIL+;35;0;
PROFIL PLUS SAINT PIERRE SUR DIVES;60 Bis Rue de Lisieux;14170;SAINT PIERRE SUR DIVES;02 31 20 80 97;49.022638;-0.028841;PROFIL+;35;0;
PROFIL+ LITTORAL PNEUS SERVICES Saint Pôl sur Mer;75 rue Vauban;59430;SAINT POL SUR MER;03 28 24 24 20;51.02603789452038;2.351125909787015;PROFIL+;35;0;
PROFIL PLUS SAINT SEINE L'ABBAYE;Route de Sombernon;21440;SAINT SEINE L'ABBAYE;03 80 35 09 56;47.4383056;4.784982;PROFIL+;35;0;
PROFIL PLUS SCHILTIGHEIM;55 rue du marais;67300;SCHILTIGHEIM;03 90 29 91 07;48.618689;7.768826;PROFIL+;35;0;
PROFIL PLUS SEES;Avenue du 8 mai;61500;SEES;02 33 27 83 30;48.59462;0.170285;PROFIL+;35;0;
PROFIL PLUS SEMEAC;5 rue Palanque ZI Palanque;65300;SEMEAC;05 62 37 69 65;43.216577;0.104195;PROFIL+;35;0;
SENE Vannes;3 rue d'Alsace ZAC du Poulfanc;56860;SENE;02 97 68 91 47;47.652044;-2.72075;PROFIL+;35;0;
ST AFFRIQUE CHALLENGE PNEUS;ZA Le Bourguet Vabres l'Abbaye;12400;ST AFFRIQUE;05 65 99 06 83;43.953840631955536;2.8467094775237456;PROFIL+;35;0;
CHOUTEAU PNEUS ST BENOIT-POITIERS;Rue du Moulin Rocade Sud;86280;ST BENOIT POITIERS;05 49 57 20 77;46.554362;0.334674;PROFIL+;35;0;
PROFIL PLUS SAINT CHAMOND;46 Rue Victor Hugo;42400;ST CHAMOND;04 77 29 20 88;45.475178;4.519308;PROFIL+;35;0;
NANTES PNEUMATIQUES ST HERBLAIN;7 rue de la Johardière CP 0204;44805;ST HERBLAIN;02 28 03 17 48;47.225361;-1.647331;PROFIL+;35;0;
PROFIL PLUS SAINT JEAN DE LA RUELLE;Rue du Clos St Gabriel;45140;ST JEAN DE LA RUELLE;02 38 72 54 00;47.899089;1.872088;PROFIL+;35;0;
SAINT JUNIEN;Av. Nelson Mandela Face à l'HYPER U;87200;ST JUNIEN;05 55 02 14 57;45.89739;0.919385;PROFIL+;35;0;
PROFIL PLUS SAINT MARTIN;Station de Mirande;32300;ST MARTIN;05 62 66 76 42;43.501227;0.394454;PROFIL+;35;0;
PROFIL PLUS SAINT MARTIN DE BIENFAITE;La gare;14290;ST MARTIN DE BIENFAITE;02 31 32 76 55;49.045407;0.362438;PROFIL+;35;0;
ST MARTIN DES CHAMPS 29600;Route de Ste Sève À côté de CONFORAMA;29600;ST MARTIN DES CHAMPS;02 98 88 01 43;48.569283;-3.852633;PROFIL+;35;0;
